date,plant,production_line,shift,vehicle_model,planned_production,actual_production,scrap_units,rework_units,downtime_minutes
2024-02-28,Plant-B,Line-1,Shift-C,Offroad-A,1058,1090,0,33,82
2024-03-12,Plant-B,Line-2,Shift-B,SUV-B,999,563,40,28,112
2024-05-27,Plant-D,Line-3,Shift-C,Offroad-A,967,1135,1,31,116
2024-12-14,Plant-B,Line-3,Shift-B,SUV-A,699,640,47,4,59
2024-03-03,Plant-C,Line-3,Shift-B,Offroad-A,1104,919,33,3,50
2024-11-05,Plant-C,Line-1,Shift-B,SUV-B,1011,720,34,22,75
2024-08-30,Plant-B,Line-2,Shift-A,Offroad-A,614,879,45,20,48
2024-11-25,Plant-D,Line-2,Shift-C,SUV-B,540,1041,12,32,14
2024-04-16,Plant-A,Line-2,Shift-B,Offroad-A,906,1019,16,23,72
2024-08-13,Plant-D,Line-1,Shift-B,Utility-A,960,1117,9,15,90
2024-11-08,Plant-A,Line-2,Shift-B,SUV-B,898,898,2,31,83
2024-08-05,Plant-D,Line-2,Shift-C,Offroad-A,1026,645,3,18,27
2024-08-28,Plant-B,Line-2,Shift-B,SUV-A,901,1123,24,25,24
2024-09-15,Plant-C,Line-2,Shift-C,SUV-B,1140,940,36,2,79
2024-09-18,Plant-D,Line-1,Shift-C,SUV-B,1163,768,42,34,81
2024-01-05,Plant-A,Line-3,Shift-A,Offroad-A,986,1015,37,38,113
2024-09-17,Plant-C,Line-3,Shift-B,Utility-A,590,710,28,17,35
2024-02-23,Plant-A,Line-2,Shift-B,Utility-A,1110,507,0,6,3
2024-02-16,Plant-B,Line-2,Shift-C,Offroad-A,1074,424,29,31,20
2024-08-02,Plant-C,Line-2,Shift-C,Offroad-A,1050,721,38,23,90
2024-06-25,Plant-A,Line-1,Shift-A,SUV-A,448,916,9,15,64
2024-01-09,Plant-D,Line-2,Shift-B,Offroad-A,762,1067,28,23,68
2024-04-08,Plant-B,Line-1,Shift-C,SUV-B,1026,1076,43,3,107
2024-01-20,Plant-B,Line-2,Shift-B,Offroad-A,1079,870,31,31,109
2024-08-28,Plant-B,Line-2,Shift-B,SUV-A,895,455,43,33,9
2024-03-01,Plant-D,Line-3,Shift-B,Offroad-A,676,1179,0,18,49
2024-06-26,Plant-D,Line-2,Shift-C,Offroad-A,446,716,40,13,84
2024-12-03,Plant-C,Line-1,Shift-B,SUV-B,1170,751,16,37,9
2024-03-02,Plant-D,Line-3,Shift-C,Utility-A,615,1106,11,12,89
2024-05-24,Plant-C,Line-1,Shift-A,Offroad-A,629,1168,1,21,15
2024-08-03,Plant-B,Line-3,Shift-A,SUV-A,1038,452,8,30,37
2024-01-03,Plant-C,Line-1,Shift-C,Offroad-A,722,1136,11,29,66
2024-06-08,Plant-A,Line-3,Shift-B,Offroad-A,820,674,24,22,19
2024-08-14,Plant-B,Line-1,Shift-A,SUV-B,624,722,35,11,110
2024-09-25,Plant-B,Line-1,Shift-A,Utility-A,1061,687,43,13,68
2024-04-29,Plant-C,Line-2,Shift-C,Utility-A,686,382,49,35,69
2024-03-29,Plant-B,Line-3,Shift-C,Utility-A,445,457,34,7,24
2024-11-24,Plant-D,Line-3,Shift-C,Offroad-A,413,771,21,23,88
2024-03-08,Plant-A,Line-2,Shift-C,SUV-B,1032,618,32,2,53
2024-12-22,Plant-C,Line-1,Shift-C,SUV-B,774,422,49,13,11
2024-04-07,Plant-C,Line-1,Shift-C,Offroad-A,1102,530,20,10,64
2024-09-23,Plant-B,Line-3,Shift-C,SUV-B,732,1129,39,37,53
2024-04-14,Plant-D,Line-1,Shift-B,Utility-A,565,501,21,27,105
2024-11-18,Plant-B,Line-3,Shift-B,SUV-B,906,861,27,22,66
2024-05-02,Plant-B,Line-3,Shift-B,Offroad-A,516,417,3,17,20
2024-01-29,Plant-C,Line-1,Shift-B,Offroad-A,1035,721,25,19,4
2024-05-16,Plant-B,Line-1,Shift-A,SUV-A,965,697,22,32,57
2024-07-13,Plant-A,Line-1,Shift-B,SUV-A,838,1058,47,1,78
2024-08-13,Plant-B,Line-2,Shift-A,SUV-B,703,1156,48,38,3
2024-11-27,Plant-B,Line-3,Shift-A,SUV-B,856,381,22,36,18
2024-06-18,Plant-C,Line-1,Shift-A,Offroad-A,670,969,40,25,80
2024-01-09,Plant-B,Line-2,Shift-C,SUV-A,1110,428,7,1,54
2024-02-09,Plant-D,Line-1,Shift-A,SUV-A,615,608,31,2,60
2024-01-25,Plant-C,Line-3,Shift-A,Utility-A,512,846,38,19,71
2024-09-17,Plant-B,Line-2,Shift-A,Utility-A,415,524,43,9,100
2024-08-13,Plant-A,Line-3,Shift-C,Offroad-A,615,716,0,20,23
2024-05-03,Plant-A,Line-1,Shift-B,Offroad-A,826,364,29,39,67
2024-02-07,Plant-C,Line-1,Shift-B,Offroad-A,534,400,27,8,87
2024-11-23,Plant-C,Line-1,Shift-A,Offroad-A,442,456,16,1,18
2024-09-07,Plant-B,Line-2,Shift-A,SUV-A,1163,1071,22,27,23
2024-06-24,Plant-D,Line-2,Shift-B,Offroad-A,683,818,37,2,53
2024-03-30,Plant-B,Line-2,Shift-B,Offroad-A,497,551,23,15,104
2024-02-06,Plant-A,Line-2,Shift-B,SUV-A,459,1138,21,3,108
2024-11-11,Plant-D,Line-1,Shift-B,Utility-A,629,567,4,22,20
2024-06-24,Plant-D,Line-1,Shift-A,Offroad-A,1042,390,24,29,80
2024-10-10,Plant-D,Line-1,Shift-A,Utility-A,784,1120,6,37,71
2024-03-21,Plant-B,Line-2,Shift-A,SUV-A,558,734,21,12,94
2024-04-23,Plant-A,Line-2,Shift-B,Utility-A,870,1064,43,5,18
2024-02-09,Plant-C,Line-1,Shift-C,SUV-A,995,685,36,9,74
2024-10-27,Plant-B,Line-1,Shift-B,Offroad-A,607,960,33,16,52
2024-08-11,Plant-C,Line-2,Shift-B,Utility-A,573,1010,35,7,109
2024-11-13,Plant-D,Line-3,Shift-C,Offroad-A,1199,454,48,8,49
2024-12-14,Plant-D,Line-1,Shift-C,SUV-B,480,552,39,33,22
2024-04-24,Plant-B,Line-1,Shift-B,SUV-B,417,859,19,16,36
2024-07-04,Plant-A,Line-1,Shift-C,Utility-A,1107,444,36,21,27
2024-11-18,Plant-D,Line-2,Shift-C,SUV-A,690,526,16,2,86
2024-02-25,Plant-C,Line-1,Shift-C,Utility-A,759,414,3,39,75
2024-02-09,Plant-C,Line-1,Shift-B,SUV-A,678,902,49,28,79
2024-12-19,Plant-B,Line-1,Shift-B,SUV-B,796,573,17,38,79
2024-02-09,Plant-C,Line-1,Shift-C,SUV-A,1165,928,27,26,77
2024-12-12,Plant-A,Line-1,Shift-A,SUV-B,541,729,49,38,70
2024-08-24,Plant-D,Line-3,Shift-C,Utility-A,1076,604,15,39,20
2024-10-15,Plant-C,Line-3,Shift-C,Offroad-A,916,647,42,36,20
2024-09-18,Plant-C,Line-1,Shift-B,Offroad-A,650,930,7,2,40
2024-08-03,Plant-D,Line-1,Shift-A,Offroad-A,1061,520,43,18,34
2024-05-26,Plant-B,Line-1,Shift-C,SUV-A,939,962,17,33,109
2024-12-01,Plant-C,Line-1,Shift-A,Offroad-A,636,1001,49,13,87
2024-06-16,Plant-B,Line-2,Shift-B,SUV-A,531,1067,28,20,0
2024-04-01,Plant-B,Line-2,Shift-A,Offroad-A,705,1181,39,1,77
2024-12-18,Plant-C,Line-2,Shift-B,SUV-A,757,713,15,9,83
2024-02-28,Plant-A,Line-3,Shift-C,SUV-A,684,1168,29,16,91
2024-02-28,Plant-B,Line-1,Shift-B,SUV-B,692,422,48,1,81
2024-10-30,Plant-C,Line-2,Shift-A,SUV-B,562,409,33,26,66
2024-06-17,Plant-B,Line-1,Shift-A,Utility-A,818,804,29,0,90
2024-09-25,Plant-D,Line-1,Shift-A,SUV-B,1138,685,20,35,69
2024-12-28,Plant-A,Line-3,Shift-C,SUV-A,867,1017,21,32,3
2024-02-14,Plant-A,Line-3,Shift-A,SUV-B,1041,473,46,21,0
2024-12-10,Plant-D,Line-2,Shift-A,SUV-B,969,804,24,34,20
2024-06-29,Plant-D,Line-2,Shift-A,SUV-B,906,363,21,33,98
2024-06-18,Plant-B,Line-3,Shift-B,SUV-A,1057,765,27,17,91
2024-12-21,Plant-D,Line-3,Shift-A,SUV-A,877,1125,38,35,81
2024-07-09,Plant-A,Line-1,Shift-B,Utility-A,761,376,32,2,115
2024-06-03,Plant-D,Line-1,Shift-A,SUV-B,711,1106,1,15,51
2024-07-06,Plant-C,Line-2,Shift-B,SUV-B,1033,399,3,10,98
2024-01-07,Plant-C,Line-2,Shift-B,SUV-A,1103,536,15,9,52
2024-05-12,Plant-B,Line-3,Shift-C,Utility-A,644,406,11,20,84
2024-08-22,Plant-A,Line-2,Shift-C,Utility-A,876,1120,16,24,79
2024-02-14,Plant-C,Line-1,Shift-B,SUV-A,1014,1016,35,34,55
2024-11-09,Plant-D,Line-3,Shift-B,SUV-B,835,383,15,5,89
2024-09-05,Plant-C,Line-1,Shift-C,Utility-A,649,887,38,7,102
2024-01-31,Plant-C,Line-3,Shift-B,Utility-A,421,1111,22,33,72
2024-01-23,Plant-B,Line-3,Shift-C,SUV-B,876,720,7,0,86
2024-06-08,Plant-D,Line-1,Shift-C,Utility-A,971,435,8,2,65
2024-12-28,Plant-D,Line-2,Shift-A,SUV-B,1149,509,13,37,66
2024-06-06,Plant-D,Line-2,Shift-A,Utility-A,910,774,8,26,117
2024-02-08,Plant-B,Line-2,Shift-C,Utility-A,735,1061,46,12,32
2024-03-22,Plant-D,Line-2,Shift-C,SUV-A,1045,455,25,18,87
2024-12-21,Plant-D,Line-1,Shift-B,Utility-A,1173,740,35,18,22
2024-09-14,Plant-C,Line-3,Shift-C,SUV-B,741,861,2,5,5
2024-07-24,Plant-C,Line-1,Shift-C,Utility-A,737,624,9,13,84
2024-03-17,Plant-D,Line-2,Shift-A,SUV-A,879,638,24,4,46
2024-01-12,Plant-A,Line-2,Shift-C,Utility-A,441,607,3,35,57
2024-10-21,Plant-A,Line-1,Shift-B,Offroad-A,473,569,29,8,4
2024-08-11,Plant-D,Line-3,Shift-C,SUV-B,421,876,49,22,76
2024-01-13,Plant-A,Line-1,Shift-A,Offroad-A,619,882,10,31,103
2024-02-15,Plant-B,Line-1,Shift-A,SUV-A,478,1195,18,28,119
2024-06-03,Plant-C,Line-1,Shift-A,Offroad-A,634,408,49,27,76
2024-04-22,Plant-B,Line-3,Shift-A,Utility-A,556,709,12,39,82
2024-08-20,Plant-C,Line-1,Shift-C,SUV-B,726,943,35,10,8
2024-01-17,Plant-A,Line-1,Shift-B,Offroad-A,513,979,2,18,2
2024-12-25,Plant-A,Line-2,Shift-B,Utility-A,1007,462,47,0,60
2024-08-10,Plant-D,Line-1,Shift-B,Offroad-A,1041,1156,13,8,94
2024-12-19,Plant-A,Line-2,Shift-C,Utility-A,1020,625,9,1,63
2024-07-06,Plant-A,Line-2,Shift-C,Utility-A,986,606,37,3,45
2024-12-09,Plant-D,Line-2,Shift-C,Offroad-A,674,678,39,28,55
2024-12-30,Plant-D,Line-3,Shift-B,SUV-A,780,1126,26,3,38
2024-06-11,Plant-C,Line-2,Shift-C,SUV-B,419,584,23,0,12
2024-11-21,Plant-A,Line-1,Shift-C,SUV-A,1072,400,15,27,40
2024-03-14,Plant-C,Line-1,Shift-A,Offroad-A,608,1027,9,17,10
2024-08-20,Plant-C,Line-2,Shift-A,Utility-A,1005,1092,26,12,40
2024-08-11,Plant-B,Line-2,Shift-B,Offroad-A,993,570,6,39,74
2024-11-14,Plant-A,Line-1,Shift-A,Utility-A,1015,1132,27,5,109
2024-02-29,Plant-A,Line-2,Shift-A,Utility-A,1148,945,25,38,46
2024-11-30,Plant-B,Line-3,Shift-A,SUV-A,1171,579,17,21,48
2024-08-09,Plant-C,Line-2,Shift-C,SUV-A,559,1158,12,29,64
2024-02-06,Plant-A,Line-3,Shift-A,Offroad-A,972,571,7,26,34
2024-10-04,Plant-C,Line-3,Shift-A,SUV-B,437,1015,26,7,118
2024-07-14,Plant-B,Line-3,Shift-A,SUV-A,517,403,13,27,34
2024-12-17,Plant-D,Line-2,Shift-C,Utility-A,789,980,40,1,66
2024-08-29,Plant-C,Line-3,Shift-B,Offroad-A,1079,1059,43,19,3
2024-11-19,Plant-A,Line-3,Shift-C,Offroad-A,776,622,5,10,23
2024-08-06,Plant-D,Line-2,Shift-C,SUV-B,775,547,19,13,93
2024-07-10,Plant-C,Line-3,Shift-A,Offroad-A,980,477,27,23,95
2024-01-17,Plant-C,Line-2,Shift-B,SUV-A,994,953,22,12,112
2024-01-12,Plant-D,Line-1,Shift-A,Utility-A,1146,358,11,7,83
2024-07-11,Plant-D,Line-3,Shift-A,Offroad-A,441,576,23,20,35
2024-01-22,Plant-D,Line-2,Shift-B,Offroad-A,1010,907,43,21,76
2024-04-29,Plant-A,Line-1,Shift-B,Utility-A,869,483,21,8,55
2024-07-28,Plant-A,Line-3,Shift-C,Offroad-A,857,365,25,10,102
2024-11-01,Plant-C,Line-3,Shift-B,Offroad-A,529,564,21,15,3
2024-09-26,Plant-C,Line-2,Shift-C,SUV-B,427,461,6,8,91
2024-07-10,Plant-B,Line-1,Shift-C,SUV-A,1144,506,14,2,39
2024-06-23,Plant-A,Line-2,Shift-A,Offroad-A,1140,774,47,35,42
2024-10-11,Plant-C,Line-3,Shift-A,SUV-A,1028,801,29,12,114
2024-07-22,Plant-D,Line-3,Shift-A,SUV-B,725,667,3,0,57
2024-06-12,Plant-D,Line-3,Shift-B,SUV-A,908,709,5,10,61
2024-09-07,Plant-A,Line-3,Shift-B,SUV-B,1018,725,47,23,6
2024-08-14,Plant-D,Line-1,Shift-C,SUV-A,724,645,46,4,8
2024-01-07,Plant-B,Line-1,Shift-C,SUV-A,559,547,1,1,21
2024-01-29,Plant-C,Line-2,Shift-C,Offroad-A,915,919,30,16,3
2024-02-02,Plant-C,Line-2,Shift-B,SUV-A,1060,747,23,16,35
2024-05-13,Plant-C,Line-2,Shift-C,Offroad-A,1145,939,34,19,96
2024-03-19,Plant-A,Line-3,Shift-C,Offroad-A,653,591,46,14,69
2024-02-27,Plant-D,Line-2,Shift-B,SUV-A,647,778,30,3,66
2024-01-26,Plant-B,Line-1,Shift-A,Offroad-A,752,960,24,10,34
2024-08-13,Plant-A,Line-2,Shift-B,SUV-A,797,355,7,22,32
2024-10-11,Plant-C,Line-2,Shift-C,Utility-A,981,1140,11,0,6
2024-01-04,Plant-B,Line-1,Shift-A,Offroad-A,602,667,1,3,104
2024-04-08,Plant-C,Line-1,Shift-B,Utility-A,701,561,14,37,98
2024-02-08,Plant-C,Line-3,Shift-A,Utility-A,547,622,39,1,54
2024-09-27,Plant-A,Line-1,Shift-A,Offroad-A,620,433,31,26,46
2024-10-11,Plant-C,Line-1,Shift-C,SUV-B,1097,973,10,33,61
2024-06-05,Plant-B,Line-2,Shift-B,SUV-B,959,1059,16,12,66
2024-03-15,Plant-C,Line-1,Shift-C,Utility-A,662,709,20,17,63
2024-10-14,Plant-D,Line-3,Shift-B,Utility-A,695,730,21,10,42
2024-05-09,Plant-C,Line-2,Shift-B,SUV-A,714,889,32,4,17
2024-06-23,Plant-A,Line-3,Shift-B,Utility-A,691,490,28,28,2
2024-03-24,Plant-B,Line-1,Shift-A,Offroad-A,1083,859,14,24,58
2024-01-22,Plant-A,Line-3,Shift-A,SUV-B,430,522,20,13,115
2024-01-27,Plant-D,Line-3,Shift-C,SUV-B,1081,369,1,37,61
2024-07-13,Plant-C,Line-1,Shift-B,SUV-B,443,978,41,36,38
2024-12-02,Plant-A,Line-1,Shift-B,Offroad-A,954,852,37,10,90
2024-08-23,Plant-A,Line-2,Shift-A,SUV-A,533,915,2,31,63
2024-04-01,Plant-A,Line-2,Shift-B,Offroad-A,748,576,24,5,72
2024-01-21,Plant-A,Line-2,Shift-C,Offroad-A,618,458,12,5,80
2024-10-29,Plant-D,Line-1,Shift-B,SUV-B,849,1092,23,21,59
2024-12-22,Plant-D,Line-3,Shift-B,Offroad-A,903,669,30,2,104
2024-03-24,Plant-C,Line-3,Shift-A,Utility-A,485,657,14,18,41
2024-09-18,Plant-C,Line-2,Shift-B,Offroad-A,650,1090,5,33,108
2024-05-26,Plant-B,Line-2,Shift-C,SUV-B,664,1160,40,6,4
2024-09-13,Plant-D,Line-1,Shift-C,SUV-B,922,436,9,15,45
2024-02-27,Plant-A,Line-3,Shift-C,Offroad-A,479,1135,8,37,3
2024-01-15,Plant-A,Line-2,Shift-C,Utility-A,1020,577,49,8,13
2024-06-10,Plant-B,Line-1,Shift-A,Utility-A,860,659,40,12,92
2024-06-11,Plant-A,Line-2,Shift-B,SUV-B,1029,1177,49,33,10
2024-11-15,Plant-B,Line-1,Shift-A,Utility-A,651,728,40,36,59
2024-10-07,Plant-C,Line-3,Shift-C,Utility-A,417,932,4,5,21
2024-10-06,Plant-D,Line-1,Shift-B,SUV-A,655,1089,44,37,105
2024-01-12,Plant-B,Line-2,Shift-A,SUV-A,644,734,43,3,4
2024-09-30,Plant-A,Line-2,Shift-B,Utility-A,552,462,40,4,52
2024-09-27,Plant-B,Line-3,Shift-C,Utility-A,1008,642,18,5,11
2024-07-26,Plant-C,Line-3,Shift-C,SUV-A,899,654,19,12,20
2024-01-27,Plant-A,Line-2,Shift-B,SUV-A,857,640,32,23,78
2024-03-12,Plant-C,Line-2,Shift-B,SUV-A,1097,454,42,27,23
2024-02-29,Plant-C,Line-2,Shift-C,SUV-B,941,640,36,12,12
2024-05-24,Plant-B,Line-3,Shift-A,SUV-B,514,826,30,17,95
2024-04-02,Plant-C,Line-2,Shift-C,SUV-A,1152,870,38,6,25
2024-11-04,Plant-A,Line-3,Shift-B,SUV-A,1168,1026,12,3,39
2024-01-08,Plant-C,Line-2,Shift-A,SUV-A,846,409,37,30,25
2024-03-19,Plant-C,Line-1,Shift-C,SUV-B,752,661,44,23,99
2024-01-27,Plant-B,Line-1,Shift-B,SUV-B,1024,455,5,21,44
2024-06-22,Plant-C,Line-2,Shift-B,Utility-A,940,972,46,20,29
2024-02-19,Plant-D,Line-1,Shift-B,Offroad-A,721,438,7,25,63
2024-07-17,Plant-B,Line-3,Shift-A,Utility-A,858,617,42,29,110
2024-12-14,Plant-B,Line-1,Shift-A,Offroad-A,625,1091,9,34,72
2024-06-29,Plant-A,Line-1,Shift-A,Offroad-A,1155,1188,40,22,87
2024-01-24,Plant-A,Line-3,Shift-A,Offroad-A,760,932,3,39,37
2024-11-11,Plant-A,Line-1,Shift-B,Utility-A,930,468,13,29,17
2024-02-15,Plant-A,Line-1,Shift-B,SUV-B,511,794,3,18,8
2024-01-15,Plant-D,Line-2,Shift-A,SUV-B,611,778,23,31,85
2024-06-01,Plant-B,Line-3,Shift-A,SUV-B,632,700,46,18,55
2024-08-09,Plant-C,Line-3,Shift-B,SUV-B,558,655,20,21,37
2024-07-24,Plant-A,Line-2,Shift-C,Utility-A,971,964,9,3,20
2024-09-29,Plant-A,Line-2,Shift-C,SUV-A,723,551,45,11,70
2024-08-23,Plant-A,Line-1,Shift-B,Offroad-A,492,372,24,14,11
2024-12-05,Plant-C,Line-1,Shift-A,SUV-B,647,439,5,14,35
2024-08-15,Plant-A,Line-1,Shift-A,SUV-B,1069,820,15,9,10
2024-01-09,Plant-C,Line-2,Shift-B,Utility-A,540,442,43,18,66
2024-06-14,Plant-B,Line-3,Shift-C,Offroad-A,803,1125,27,7,26
2024-11-14,Plant-B,Line-1,Shift-B,SUV-B,1131,634,35,30,62
2024-08-01,Plant-B,Line-2,Shift-B,SUV-A,803,1032,32,8,70
2024-04-26,Plant-D,Line-3,Shift-B,SUV-B,1000,658,29,28,65
2024-12-09,Plant-C,Line-2,Shift-A,Offroad-A,1066,1082,35,6,73
2024-03-12,Plant-A,Line-1,Shift-A,SUV-A,813,885,24,7,66
2024-03-04,Plant-A,Line-2,Shift-A,Utility-A,839,725,12,16,80
2024-07-23,Plant-A,Line-2,Shift-C,SUV-A,632,1063,38,14,106
2024-07-27,Plant-A,Line-2,Shift-B,Offroad-A,592,848,14,15,64
2024-03-12,Plant-D,Line-2,Shift-B,Offroad-A,498,985,37,6,33
2024-10-03,Plant-A,Line-3,Shift-C,SUV-A,512,491,29,18,76
2024-09-30,Plant-D,Line-1,Shift-A,SUV-B,1018,401,13,37,77
2024-11-15,Plant-C,Line-3,Shift-B,Offroad-A,935,419,49,24,80
2024-12-03,Plant-B,Line-2,Shift-C,SUV-A,680,609,3,11,33
2024-04-04,Plant-A,Line-2,Shift-A,Offroad-A,1115,1047,0,31,63
2024-06-14,Plant-B,Line-1,Shift-A,SUV-B,922,1068,2,9,16
2024-02-01,Plant-C,Line-1,Shift-B,SUV-B,749,642,44,23,50
2024-01-11,Plant-C,Line-3,Shift-A,SUV-A,715,1165,49,3,104
2024-10-27,Plant-A,Line-3,Shift-C,Utility-A,1116,727,35,36,55
2024-08-04,Plant-C,Line-1,Shift-A,Utility-A,899,388,3,38,88
2024-10-15,Plant-B,Line-3,Shift-B,SUV-B,936,697,42,3,107
2024-04-11,Plant-A,Line-2,Shift-C,Utility-A,1051,927,13,35,93
2024-09-23,Plant-D,Line-2,Shift-A,SUV-B,1034,874,24,36,47
2024-08-01,Plant-A,Line-1,Shift-A,Utility-A,835,1055,38,24,99
2024-06-27,Plant-B,Line-3,Shift-A,SUV-B,922,1177,2,29,61
2024-03-28,Plant-A,Line-2,Shift-C,Offroad-A,1177,855,6,0,55
2024-02-10,Plant-A,Line-1,Shift-A,SUV-A,992,731,7,28,10
2024-03-16,Plant-B,Line-3,Shift-B,SUV-A,843,774,43,15,84
2024-02-15,Plant-A,Line-2,Shift-C,Utility-A,1020,1149,6,36,19
2024-06-08,Plant-A,Line-3,Shift-C,SUV-A,607,785,47,36,92
2024-03-20,Plant-B,Line-3,Shift-A,Utility-A,1155,994,24,6,67
2024-11-05,Plant-C,Line-3,Shift-C,SUV-B,675,1056,16,39,33
2024-03-26,Plant-B,Line-1,Shift-B,Offroad-A,896,671,25,32,41
2024-04-01,Plant-A,Line-2,Shift-C,SUV-A,1172,939,3,21,40
2024-05-27,Plant-D,Line-1,Shift-B,Offroad-A,696,599,48,26,61
2024-06-09,Plant-D,Line-2,Shift-A,SUV-A,773,1093,17,28,16
2024-07-20,Plant-B,Line-2,Shift-C,SUV-B,974,529,3,15,11
2024-08-29,Plant-D,Line-1,Shift-B,SUV-A,583,1038,16,20,67
2024-12-18,Plant-A,Line-1,Shift-A,SUV-A,431,378,46,10,40
2024-01-02,Plant-A,Line-2,Shift-B,SUV-B,682,845,16,20,13
2024-08-12,Plant-B,Line-2,Shift-C,Utility-A,831,1027,44,8,3
2024-10-15,Plant-A,Line-2,Shift-C,Utility-A,918,675,24,26,97
2024-08-20,Plant-C,Line-3,Shift-B,SUV-B,1085,1087,2,38,81
2024-03-17,Plant-A,Line-2,Shift-A,Utility-A,861,997,11,21,76
2024-04-25,Plant-B,Line-1,Shift-A,SUV-A,767,536,26,14,73
2024-06-02,Plant-C,Line-1,Shift-A,Offroad-A,1057,404,16,22,13
2024-04-12,Plant-C,Line-1,Shift-A,SUV-B,651,863,21,28,8
2024-07-12,Plant-D,Line-2,Shift-B,SUV-A,565,759,38,38,42
2024-06-14,Plant-A,Line-2,Shift-C,SUV-B,1014,1180,38,15,19
2024-12-24,Plant-B,Line-3,Shift-B,Offroad-A,1104,366,42,2,0
2024-03-30,Plant-D,Line-3,Shift-C,SUV-A,928,920,47,15,107
2024-06-22,Plant-D,Line-1,Shift-C,SUV-A,1001,437,35,7,92
2024-05-01,Plant-A,Line-3,Shift-B,Offroad-A,770,572,15,25,80
2024-05-22,Plant-A,Line-3,Shift-B,Offroad-A,997,1133,36,8,112
2024-04-15,Plant-B,Line-1,Shift-A,Utility-A,502,407,28,34,71
2024-10-31,Plant-D,Line-2,Shift-C,SUV-A,993,1053,13,6,16
2024-12-25,Plant-B,Line-3,Shift-A,Offroad-A,525,911,6,7,84
2024-11-12,Plant-D,Line-2,Shift-A,Offroad-A,437,1074,40,34,88
2024-05-02,Plant-D,Line-1,Shift-B,SUV-A,747,579,27,38,19
2024-01-09,Plant-D,Line-1,Shift-A,Utility-A,612,503,12,35,58
2024-09-18,Plant-A,Line-3,Shift-A,SUV-B,718,622,15,5,88
2024-03-13,Plant-D,Line-1,Shift-A,Utility-A,1136,395,20,6,84
2024-12-24,Plant-D,Line-1,Shift-B,Offroad-A,1133,801,3,11,12
2024-08-10,Plant-D,Line-1,Shift-A,SUV-B,825,655,38,38,76
2024-02-10,Plant-C,Line-3,Shift-A,SUV-B,646,776,34,0,46
2024-07-22,Plant-A,Line-3,Shift-B,Utility-A,1047,467,14,24,49
2024-09-20,Plant-C,Line-3,Shift-B,SUV-B,685,1037,25,11,93
2024-11-23,Plant-A,Line-1,Shift-B,Offroad-A,630,929,45,26,76
2024-06-26,Plant-B,Line-2,Shift-C,SUV-A,719,600,6,22,39
2024-12-13,Plant-C,Line-1,Shift-B,SUV-A,911,752,17,18,6
2024-11-13,Plant-B,Line-3,Shift-C,SUV-A,920,1091,24,20,54
2024-03-24,Plant-D,Line-2,Shift-B,Utility-A,624,549,36,20,50
2024-11-13,Plant-B,Line-2,Shift-B,SUV-A,905,495,20,23,105
2024-04-20,Plant-B,Line-3,Shift-B,SUV-A,506,400,7,12,75
2024-09-07,Plant-B,Line-2,Shift-C,SUV-A,1098,717,19,35,1
2024-01-07,Plant-B,Line-2,Shift-A,SUV-B,1132,1047,17,14,13
2024-03-24,Plant-A,Line-3,Shift-B,SUV-B,1006,669,18,0,105
2024-07-26,Plant-C,Line-2,Shift-C,SUV-B,1106,548,2,33,16
2024-11-09,Plant-A,Line-2,Shift-B,Offroad-A,1153,790,37,30,76
2024-01-22,Plant-A,Line-3,Shift-A,Offroad-A,1141,494,17,31,0
2024-01-03,Plant-A,Line-2,Shift-C,Offroad-A,730,408,26,35,118
2024-05-06,Plant-B,Line-2,Shift-B,SUV-A,404,1056,14,28,110
2024-10-23,Plant-A,Line-2,Shift-B,SUV-B,867,492,45,9,0
2024-07-06,Plant-C,Line-2,Shift-B,Offroad-A,915,572,20,20,110
2024-12-27,Plant-A,Line-3,Shift-A,Utility-A,1175,449,21,35,25
2024-01-14,Plant-D,Line-1,Shift-C,SUV-B,1164,375,7,23,115
2024-01-12,Plant-B,Line-1,Shift-B,SUV-A,562,781,10,26,110
2024-03-27,Plant-D,Line-2,Shift-B,SUV-B,1052,875,42,20,45
2024-01-12,Plant-C,Line-3,Shift-C,SUV-A,930,471,11,17,12
2024-01-25,Plant-C,Line-3,Shift-A,Offroad-A,481,814,47,3,33
2024-10-27,Plant-C,Line-2,Shift-A,SUV-A,880,614,38,17,61
2024-08-30,Plant-C,Line-1,Shift-A,SUV-A,915,356,26,8,103
2024-05-01,Plant-A,Line-2,Shift-A,Utility-A,1039,1080,34,29,72
2024-05-26,Plant-B,Line-3,Shift-A,SUV-B,586,569,1,34,50
2024-02-24,Plant-C,Line-3,Shift-B,SUV-A,545,1044,34,29,82
2024-08-25,Plant-D,Line-1,Shift-B,Utility-A,551,745,30,38,86
2024-12-21,Plant-C,Line-3,Shift-B,Utility-A,762,806,7,5,40
2024-06-21,Plant-B,Line-3,Shift-C,Utility-A,492,457,19,13,54
2024-08-08,Plant-D,Line-3,Shift-A,Offroad-A,430,841,7,28,27
2024-04-28,Plant-D,Line-1,Shift-C,Offroad-A,939,985,3,31,93
2024-11-04,Plant-D,Line-3,Shift-A,SUV-A,1048,1031,30,13,60
2024-07-01,Plant-A,Line-2,Shift-A,SUV-B,1001,809,31,19,6
2024-10-14,Plant-C,Line-1,Shift-C,Offroad-A,448,1118,12,8,77
2024-11-02,Plant-A,Line-2,Shift-B,Offroad-A,657,358,21,11,1
