claim_date,vehicle_model,plant,supplier,part_name,failure_mode,claim_count,repair_cost,vehicle_age_months,region
2024-01-12,SUV-B,Plant-C,Supplier-Beta,Fender Cladding,Material Failure,7,17153,17,East
2024-02-13,SUV-A,Plant-C,Supplier-Alpha,Wheel Arch Cladding,Crack,2,11723,21,East
2024-04-18,SUV-B,Plant-D,Supplier-Alpha,Front Bumper,Fitment Issue,6,6976,20,West
2024-12-14,SUV-A,Plant-A,Supplier-Gamma,Fender Cladding,Crack,6,12637,23,North
2024-03-30,SUV-A,Plant-B,Supplier-Beta,Rear Bumper,Noise,2,19932,16,East
2024-10-11,SUV-A,Plant-B,Supplier-Beta,Dashboard Panel,Noise,2,4021,23,South
2024-10-18,SUV-A,Plant-D,Supplier-Alpha,Rear Bumper,Surface Damage,4,22079,11,East
2024-10-17,SUV-A,Plant-B,Supplier-Delta,Rear Bumper,Crack,3,21711,3,West
2024-09-20,SUV-B,Plant-C,Supplier-Delta,Fender Cladding,Surface Damage,6,19269,18,North
2024-09-28,Offroad-A,Plant-B,Supplier-Beta,Rear Bumper,Noise,7,9238,27,North
2024-10-25,Offroad-A,Plant-D,Supplier-Alpha,Fender Cladding,Noise,4,22884,27,East
2024-03-09,Offroad-A,Plant-A,Supplier-Alpha,Fender Cladding,Surface Damage,2,9904,26,West
2024-05-23,SUV-B,Plant-D,Supplier-Gamma,Rear Bumper,Noise,7,5466,28,East
2024-02-25,Utility-A,Plant-B,Supplier-Beta,Door Trim,Crack,7,18803,33,West
2024-02-10,SUV-B,Plant-D,Supplier-Delta,Door Trim,Material Failure,3,17946,19,East
2024-03-17,Offroad-A,Plant-D,Supplier-Delta,Front Bumper,Material Failure,4,18950,9,North
2024-01-08,Utility-A,Plant-B,Supplier-Beta,Fender Cladding,Noise,7,13297,8,North
2024-11-05,SUV-A,Plant-A,Supplier-Gamma,Rear Bumper,Material Failure,1,12717,20,South
2024-03-30,Offroad-A,Plant-C,Supplier-Delta,Dashboard Panel,Material Failure,1,12952,28,East
2024-09-21,Offroad-A,Plant-D,Supplier-Beta,Rear Bumper,Material Failure,2,4886,24,North
2024-07-12,SUV-A,Plant-A,Supplier-Alpha,Rear Bumper,Noise,2,22397,21,West
2024-03-11,Utility-A,Plant-A,Supplier-Beta,Door Trim,Material Failure,5,20321,10,East
2024-10-12,SUV-A,Plant-D,Supplier-Beta,Wheel Arch Cladding,Surface Damage,1,11308,12,West
2024-12-02,SUV-A,Plant-B,Supplier-Beta,Dashboard Panel,Surface Damage,7,8484,18,East
2024-04-17,SUV-B,Plant-B,Supplier-Alpha,Fender Cladding,Material Failure,3,12125,23,West
2024-04-04,SUV-A,Plant-D,Supplier-Beta,Front Bumper,Fitment Issue,7,14047,32,South
2024-11-16,Offroad-A,Plant-B,Supplier-Alpha,Front Bumper,Fitment Issue,3,23657,30,South
2024-10-12,Offroad-A,Plant-B,Supplier-Delta,Front Bumper,Surface Damage,6,11210,11,North
2024-10-29,Offroad-A,Plant-A,Supplier-Gamma,Fender Cladding,Surface Damage,7,13570,13,South
2024-12-16,Utility-A,Plant-C,Supplier-Alpha,Fender Cladding,Material Failure,6,23066,31,North
2024-12-09,Offroad-A,Plant-C,Supplier-Gamma,Front Bumper,Noise,5,6447,16,East
2024-09-01,SUV-A,Plant-B,Supplier-Gamma,Front Bumper,Surface Damage,1,13097,30,North
2024-03-15,SUV-B,Plant-B,Supplier-Delta,Rear Bumper,Material Failure,4,9844,13,South
2024-12-27,Offroad-A,Plant-D,Supplier-Alpha,Dashboard Panel,Surface Damage,7,7836,28,North
2024-12-01,Utility-A,Plant-B,Supplier-Delta,Wheel Arch Cladding,Surface Damage,4,19825,35,East
2024-05-16,SUV-A,Plant-D,Supplier-Alpha,Door Trim,Material Failure,3,7984,18,East
2024-08-09,SUV-A,Plant-C,Supplier-Gamma,Fender Cladding,Material Failure,4,6409,29,East
2024-07-22,Utility-A,Plant-A,Supplier-Gamma,Wheel Arch Cladding,Crack,2,15507,19,North
2024-03-01,SUV-B,Plant-D,Supplier-Beta,Front Bumper,Noise,2,7685,4,West
2024-12-18,Utility-A,Plant-A,Supplier-Alpha,Dashboard Panel,Crack,7,8599,20,East
2024-09-18,SUV-B,Plant-C,Supplier-Gamma,Front Bumper,Crack,5,19401,14,South
2024-10-27,Utility-A,Plant-A,Supplier-Alpha,Front Bumper,Crack,4,14401,19,West
2024-03-05,SUV-A,Plant-C,Supplier-Delta,Front Bumper,Crack,7,18827,7,North
2024-02-06,Offroad-A,Plant-A,Supplier-Delta,Rear Bumper,Crack,5,3802,27,North
2024-12-11,Offroad-A,Plant-A,Supplier-Alpha,Fender Cladding,Surface Damage,1,4241,30,East
2024-08-21,SUV-B,Plant-B,Supplier-Gamma,Front Bumper,Crack,4,23525,13,South
2024-07-19,SUV-A,Plant-C,Supplier-Delta,Front Bumper,Material Failure,3,19411,33,North
2024-04-11,Offroad-A,Plant-D,Supplier-Gamma,Fender Cladding,Noise,3,2472,34,West
2024-04-19,Utility-A,Plant-C,Supplier-Alpha,Door Trim,Fitment Issue,1,4611,24,North
2024-02-19,SUV-A,Plant-B,Supplier-Beta,Rear Bumper,Fitment Issue,2,23035,34,North
2024-11-22,SUV-A,Plant-D,Supplier-Gamma,Rear Bumper,Surface Damage,2,19265,33,East
2024-10-13,Offroad-A,Plant-B,Supplier-Delta,Wheel Arch Cladding,Crack,2,10078,25,West
2024-06-08,Utility-A,Plant-C,Supplier-Alpha,Rear Bumper,Material Failure,4,19248,22,West
2024-10-30,Utility-A,Plant-C,Supplier-Beta,Wheel Arch Cladding,Fitment Issue,5,5487,11,South
2024-07-29,Offroad-A,Plant-B,Supplier-Delta,Door Trim,Crack,1,19477,1,North
2024-05-24,Utility-A,Plant-D,Supplier-Alpha,Fender Cladding,Fitment Issue,6,12346,28,West
2024-07-07,Offroad-A,Plant-C,Supplier-Alpha,Front Bumper,Fitment Issue,7,24784,25,West
2024-07-03,SUV-B,Plant-B,Supplier-Gamma,Dashboard Panel,Crack,7,8629,16,South
2024-11-08,SUV-B,Plant-C,Supplier-Beta,Wheel Arch Cladding,Noise,4,13879,9,East
2024-09-05,SUV-A,Plant-B,Supplier-Alpha,Dashboard Panel,Noise,3,23733,21,East
2024-06-09,Offroad-A,Plant-C,Supplier-Beta,Dashboard Panel,Surface Damage,5,5603,14,South
2024-05-26,Utility-A,Plant-C,Supplier-Beta,Rear Bumper,Material Failure,5,15425,33,West
2024-09-27,Utility-A,Plant-A,Supplier-Gamma,Dashboard Panel,Crack,4,2359,21,South
2024-06-11,Offroad-A,Plant-D,Supplier-Alpha,Front Bumper,Fitment Issue,3,24706,21,East
2024-06-25,SUV-A,Plant-C,Supplier-Alpha,Door Trim,Noise,5,24529,2,South
2024-08-17,Offroad-A,Plant-D,Supplier-Gamma,Fender Cladding,Material Failure,4,15901,19,South
2024-06-12,Utility-A,Plant-B,Supplier-Gamma,Wheel Arch Cladding,Material Failure,3,9889,20,North
2024-08-11,Offroad-A,Plant-A,Supplier-Alpha,Rear Bumper,Crack,6,9312,3,South
2024-08-11,Utility-A,Plant-B,Supplier-Gamma,Dashboard Panel,Crack,4,4663,35,West
2024-08-19,Utility-A,Plant-D,Supplier-Alpha,Dashboard Panel,Crack,6,2798,19,East
2024-02-23,Offroad-A,Plant-B,Supplier-Delta,Front Bumper,Noise,3,13026,15,East
2024-02-05,SUV-B,Plant-B,Supplier-Beta,Front Bumper,Surface Damage,1,15628,18,West
2024-02-22,Utility-A,Plant-B,Supplier-Beta,Front Bumper,Surface Damage,6,16751,22,West
2024-07-06,Utility-A,Plant-D,Supplier-Gamma,Fender Cladding,Surface Damage,7,7456,29,East
2024-03-14,SUV-A,Plant-C,Supplier-Delta,Wheel Arch Cladding,Material Failure,2,14631,17,South
2024-10-26,Utility-A,Plant-B,Supplier-Beta,Fender Cladding,Material Failure,4,20668,11,West
2024-10-15,Offroad-A,Plant-D,Supplier-Alpha,Dashboard Panel,Noise,4,3511,2,South
2024-11-06,SUV-B,Plant-A,Supplier-Beta,Rear Bumper,Crack,4,8787,10,North
2024-02-13,Utility-A,Plant-A,Supplier-Beta,Wheel Arch Cladding,Crack,4,6420,22,West
2024-02-20,SUV-B,Plant-D,Supplier-Beta,Door Trim,Fitment Issue,1,18883,17,North
2024-04-08,SUV-A,Plant-B,Supplier-Alpha,Door Trim,Fitment Issue,6,20942,26,South
2024-12-07,Offroad-A,Plant-C,Supplier-Gamma,Dashboard Panel,Fitment Issue,2,24138,3,South
2024-02-20,Utility-A,Plant-A,Supplier-Alpha,Fender Cladding,Material Failure,7,13763,22,South
2024-05-14,SUV-B,Plant-C,Supplier-Gamma,Fender Cladding,Surface Damage,6,13304,20,North
2024-07-31,Utility-A,Plant-D,Supplier-Beta,Dashboard Panel,Noise,2,6480,35,East
2024-05-20,SUV-B,Plant-A,Supplier-Beta,Fender Cladding,Surface Damage,5,21033,15,East
2024-10-30,SUV-A,Plant-B,Supplier-Delta,Door Trim,Crack,1,7545,10,West
2024-04-23,SUV-B,Plant-A,Supplier-Beta,Door Trim,Fitment Issue,2,18066,33,North
2024-08-26,Utility-A,Plant-B,Supplier-Alpha,Wheel Arch Cladding,Surface Damage,2,14822,23,West
2024-12-05,Offroad-A,Plant-C,Supplier-Beta,Dashboard Panel,Crack,3,17628,6,South
2024-06-23,SUV-B,Plant-A,Supplier-Delta,Wheel Arch Cladding,Fitment Issue,6,13989,31,West
2024-02-16,SUV-B,Plant-D,Supplier-Alpha,Fender Cladding,Surface Damage,3,13677,26,South
2024-09-22,Offroad-A,Plant-A,Supplier-Delta,Dashboard Panel,Surface Damage,1,9253,13,North
2024-01-26,Utility-A,Plant-B,Supplier-Delta,Front Bumper,Surface Damage,1,22494,16,East
2024-02-19,SUV-B,Plant-C,Supplier-Alpha,Wheel Arch Cladding,Fitment Issue,2,21997,29,North
2024-05-08,SUV-A,Plant-D,Supplier-Gamma,Door Trim,Material Failure,3,3048,23,East
2024-12-30,Utility-A,Plant-B,Supplier-Gamma,Rear Bumper,Fitment Issue,3,23300,12,West
2024-11-14,SUV-B,Plant-B,Supplier-Gamma,Front Bumper,Noise,2,19921,25,North
2024-05-24,SUV-A,Plant-D,Supplier-Gamma,Dashboard Panel,Fitment Issue,7,3088,24,West
2024-05-24,SUV-A,Plant-D,Supplier-Delta,Door Trim,Surface Damage,2,14115,27,North
2024-06-15,Offroad-A,Plant-C,Supplier-Delta,Front Bumper,Crack,5,20348,33,East
2024-02-12,Utility-A,Plant-B,Supplier-Alpha,Rear Bumper,Crack,4,10363,19,South
2024-02-10,SUV-A,Plant-B,Supplier-Alpha,Dashboard Panel,Surface Damage,6,6249,1,North
2024-01-15,SUV-B,Plant-C,Supplier-Gamma,Fender Cladding,Material Failure,1,12631,29,North
2024-05-08,Utility-A,Plant-A,Supplier-Gamma,Front Bumper,Material Failure,1,6178,29,West
2024-02-27,Offroad-A,Plant-D,Supplier-Gamma,Rear Bumper,Fitment Issue,5,11374,17,West
2024-02-23,SUV-A,Plant-C,Supplier-Gamma,Rear Bumper,Fitment Issue,7,24323,30,South
2024-08-11,SUV-A,Plant-D,Supplier-Gamma,Front Bumper,Crack,3,24905,25,East
2024-07-21,SUV-A,Plant-C,Supplier-Delta,Dashboard Panel,Surface Damage,6,15788,33,North
2024-05-12,SUV-B,Plant-C,Supplier-Delta,Front Bumper,Surface Damage,7,24240,34,South
2024-03-02,Utility-A,Plant-B,Supplier-Delta,Front Bumper,Fitment Issue,4,4441,14,South
2024-08-30,SUV-B,Plant-D,Supplier-Delta,Front Bumper,Noise,7,11455,26,South
2024-07-28,SUV-A,Plant-C,Supplier-Gamma,Fender Cladding,Fitment Issue,3,2045,18,East
2024-08-29,Offroad-A,Plant-B,Supplier-Delta,Door Trim,Fitment Issue,5,24612,20,North
2024-07-28,SUV-B,Plant-C,Supplier-Gamma,Wheel Arch Cladding,Material Failure,5,19620,7,North
2024-08-02,Offroad-A,Plant-D,Supplier-Delta,Fender Cladding,Fitment Issue,5,22714,30,South
2024-08-31,SUV-B,Plant-C,Supplier-Delta,Front Bumper,Fitment Issue,1,20700,29,South
2024-03-11,Offroad-A,Plant-B,Supplier-Beta,Rear Bumper,Noise,1,3458,2,South
2024-10-28,Offroad-A,Plant-B,Supplier-Gamma,Dashboard Panel,Crack,3,12322,12,East
2024-03-30,SUV-A,Plant-A,Supplier-Gamma,Fender Cladding,Crack,6,19367,21,North
2024-06-04,SUV-A,Plant-D,Supplier-Delta,Wheel Arch Cladding,Fitment Issue,7,16521,10,South
2024-03-24,Utility-A,Plant-A,Supplier-Alpha,Dashboard Panel,Surface Damage,2,9165,34,North
2024-05-30,SUV-A,Plant-B,Supplier-Gamma,Wheel Arch Cladding,Fitment Issue,1,23150,33,East
2024-06-08,Utility-A,Plant-A,Supplier-Delta,Fender Cladding,Material Failure,6,24249,6,East
2024-03-22,SUV-A,Plant-D,Supplier-Gamma,Rear Bumper,Noise,4,5992,21,West
2024-10-15,Offroad-A,Plant-B,Supplier-Gamma,Rear Bumper,Fitment Issue,7,20646,28,South
2024-07-04,Utility-A,Plant-A,Supplier-Alpha,Dashboard Panel,Crack,4,23211,9,North
2024-03-29,SUV-A,Plant-A,Supplier-Alpha,Rear Bumper,Fitment Issue,4,15356,21,West
2024-06-08,SUV-B,Plant-B,Supplier-Beta,Door Trim,Noise,7,17916,10,South
2024-02-19,SUV-A,Plant-C,Supplier-Alpha,Rear Bumper,Noise,7,7244,29,North
2024-06-27,SUV-A,Plant-B,Supplier-Delta,Wheel Arch Cladding,Surface Damage,5,22411,16,North
2024-08-07,SUV-B,Plant-A,Supplier-Alpha,Dashboard Panel,Surface Damage,3,4172,19,South
2024-07-23,SUV-A,Plant-D,Supplier-Beta,Front Bumper,Surface Damage,7,8847,32,East
2024-01-19,Utility-A,Plant-A,Supplier-Delta,Front Bumper,Fitment Issue,5,20862,12,North
2024-01-03,SUV-A,Plant-B,Supplier-Alpha,Wheel Arch Cladding,Crack,4,16561,24,West
2024-04-25,SUV-A,Plant-A,Supplier-Beta,Rear Bumper,Material Failure,4,2175,1,North
2024-12-12,SUV-B,Plant-B,Supplier-Beta,Front Bumper,Crack,7,4800,33,West
2024-10-25,SUV-B,Plant-A,Supplier-Alpha,Dashboard Panel,Noise,5,20951,13,West
2024-06-05,SUV-A,Plant-A,Supplier-Alpha,Wheel Arch Cladding,Crack,4,18033,29,West
2024-08-28,SUV-B,Plant-C,Supplier-Beta,Rear Bumper,Fitment Issue,4,4099,2,South
2024-04-17,Offroad-A,Plant-B,Supplier-Delta,Door Trim,Surface Damage,3,15392,11,North
2024-10-26,SUV-B,Plant-C,Supplier-Delta,Front Bumper,Crack,4,16855,11,South
2024-02-21,Utility-A,Plant-C,Supplier-Delta,Dashboard Panel,Noise,5,8461,31,South
2024-12-18,SUV-A,Plant-A,Supplier-Beta,Rear Bumper,Noise,5,13072,5,East
2024-01-28,SUV-B,Plant-B,Supplier-Beta,Dashboard Panel,Material Failure,7,9236,3,South
2024-07-30,SUV-A,Plant-D,Supplier-Delta,Rear Bumper,Crack,2,6442,18,East
2024-04-18,Utility-A,Plant-A,Supplier-Beta,Dashboard Panel,Fitment Issue,4,13350,30,North
2024-11-05,Offroad-A,Plant-B,Supplier-Alpha,Front Bumper,Noise,7,18373,21,West
2024-09-14,Offroad-A,Plant-C,Supplier-Gamma,Rear Bumper,Material Failure,2,24155,11,West
2024-08-07,SUV-A,Plant-A,Supplier-Beta,Dashboard Panel,Noise,7,6927,13,South
2024-01-17,SUV-B,Plant-D,Supplier-Alpha,Fender Cladding,Material Failure,7,10179,13,South
2024-08-27,Offroad-A,Plant-A,Supplier-Delta,Fender Cladding,Noise,6,15435,3,North
2024-07-30,SUV-A,Plant-C,Supplier-Delta,Door Trim,Fitment Issue,5,21591,16,North
2024-10-10,SUV-A,Plant-C,Supplier-Beta,Wheel Arch Cladding,Fitment Issue,2,13132,26,North
2024-10-10,Offroad-A,Plant-B,Supplier-Gamma,Fender Cladding,Noise,6,19895,14,North
2024-06-28,SUV-A,Plant-D,Supplier-Alpha,Fender Cladding,Surface Damage,4,19729,4,South
2024-09-28,Offroad-A,Plant-A,Supplier-Alpha,Door Trim,Fitment Issue,1,5788,26,East
2024-03-25,Offroad-A,Plant-C,Supplier-Delta,Fender Cladding,Fitment Issue,3,3744,15,West
2024-09-17,SUV-B,Plant-B,Supplier-Gamma,Fender Cladding,Material Failure,6,15417,21,East
2024-10-27,SUV-A,Plant-D,Supplier-Delta,Dashboard Panel,Material Failure,4,12863,13,East
2024-07-28,Offroad-A,Plant-D,Supplier-Gamma,Front Bumper,Crack,2,8770,13,North
2024-11-03,Offroad-A,Plant-B,Supplier-Alpha,Door Trim,Crack,2,16914,18,North
2024-03-02,SUV-B,Plant-C,Supplier-Delta,Rear Bumper,Fitment Issue,7,3409,16,North
2024-01-05,Offroad-A,Plant-D,Supplier-Delta,Rear Bumper,Fitment Issue,6,14942,11,West
2024-04-16,SUV-B,Plant-A,Supplier-Delta,Wheel Arch Cladding,Noise,7,8278,26,East
2024-01-11,Offroad-A,Plant-C,Supplier-Gamma,Wheel Arch Cladding,Surface Damage,2,22755,1,West
2024-12-07,SUV-A,Plant-C,Supplier-Alpha,Fender Cladding,Noise,6,16523,32,North
2024-08-02,SUV-A,Plant-B,Supplier-Gamma,Fender Cladding,Fitment Issue,5,6359,1,South
2024-08-06,SUV-A,Plant-D,Supplier-Delta,Rear Bumper,Material Failure,4,24617,7,West
2024-06-27,SUV-B,Plant-B,Supplier-Beta,Door Trim,Crack,2,6743,14,East
2024-11-11,SUV-A,Plant-D,Supplier-Beta,Front Bumper,Surface Damage,1,6893,18,South
2024-03-06,SUV-B,Plant-B,Supplier-Alpha,Dashboard Panel,Material Failure,4,15139,13,North
2024-07-03,Utility-A,Plant-C,Supplier-Alpha,Wheel Arch Cladding,Fitment Issue,5,10885,25,North
2024-01-17,SUV-B,Plant-B,Supplier-Alpha,Fender Cladding,Surface Damage,7,14667,13,North
2024-02-09,Utility-A,Plant-C,Supplier-Beta,Wheel Arch Cladding,Surface Damage,4,17028,17,East
2024-12-01,SUV-B,Plant-C,Supplier-Beta,Rear Bumper,Crack,6,2733,30,South
2024-03-16,Offroad-A,Plant-B,Supplier-Delta,Door Trim,Surface Damage,6,24558,17,South
2024-11-14,SUV-B,Plant-D,Supplier-Alpha,Rear Bumper,Fitment Issue,5,22483,10,East
2024-09-02,Offroad-A,Plant-C,Supplier-Gamma,Front Bumper,Crack,5,15724,16,East
2024-02-20,SUV-B,Plant-B,Supplier-Alpha,Door Trim,Fitment Issue,3,23597,34,South
2024-05-08,SUV-B,Plant-C,Supplier-Alpha,Front Bumper,Surface Damage,3,2760,23,East
2024-11-02,Utility-A,Plant-C,Supplier-Delta,Front Bumper,Fitment Issue,1,19941,15,East
2024-09-16,Utility-A,Plant-B,Supplier-Delta,Door Trim,Material Failure,2,14790,7,East
2024-07-27,Offroad-A,Plant-C,Supplier-Alpha,Front Bumper,Surface Damage,7,11853,35,North
2024-07-29,Offroad-A,Plant-C,Supplier-Delta,Wheel Arch Cladding,Noise,4,14383,18,North
2024-05-11,SUV-A,Plant-B,Supplier-Gamma,Fender Cladding,Noise,2,23387,15,North
2024-03-24,SUV-A,Plant-A,Supplier-Beta,Door Trim,Material Failure,4,15505,24,South
2024-02-18,Utility-A,Plant-B,Supplier-Gamma,Rear Bumper,Noise,1,2890,9,East
2024-09-02,Offroad-A,Plant-D,Supplier-Beta,Rear Bumper,Noise,1,8341,9,North
2024-02-08,SUV-A,Plant-A,Supplier-Delta,Fender Cladding,Crack,4,4666,33,West
2024-05-24,Offroad-A,Plant-C,Supplier-Beta,Rear Bumper,Fitment Issue,5,9786,34,South
2024-05-22,Utility-A,Plant-D,Supplier-Gamma,Fender Cladding,Surface Damage,3,4466,23,North
2024-09-03,Offroad-A,Plant-A,Supplier-Beta,Wheel Arch Cladding,Noise,7,17695,32,West
2024-12-26,Utility-A,Plant-B,Supplier-Gamma,Rear Bumper,Surface Damage,4,14335,21,West
2024-06-04,SUV-A,Plant-C,Supplier-Beta,Rear Bumper,Material Failure,5,23973,22,South
2024-01-16,Offroad-A,Plant-A,Supplier-Delta,Wheel Arch Cladding,Noise,4,23426,2,East
2024-12-13,Offroad-A,Plant-B,Supplier-Alpha,Rear Bumper,Crack,4,18973,9,East
2024-10-07,SUV-A,Plant-A,Supplier-Beta,Rear Bumper,Surface Damage,6,10679,26,East
2024-02-08,SUV-B,Plant-B,Supplier-Gamma,Wheel Arch Cladding,Material Failure,4,15359,20,North
2024-05-24,SUV-B,Plant-D,Supplier-Delta,Dashboard Panel,Crack,4,17270,15,South
2024-02-15,Utility-A,Plant-D,Supplier-Beta,Wheel Arch Cladding,Fitment Issue,4,15692,21,East
2024-11-04,Offroad-A,Plant-C,Supplier-Delta,Dashboard Panel,Material Failure,7,8671,15,South
2024-11-02,SUV-A,Plant-B,Supplier-Alpha,Wheel Arch Cladding,Crack,5,19939,23,West
2024-01-20,Utility-A,Plant-A,Supplier-Gamma,Dashboard Panel,Surface Damage,1,4433,5,South
2024-12-08,SUV-A,Plant-C,Supplier-Alpha,Rear Bumper,Crack,6,24970,34,West
2024-05-12,SUV-B,Plant-C,Supplier-Delta,Fender Cladding,Material Failure,3,11685,24,West
2024-11-13,Offroad-A,Plant-B,Supplier-Alpha,Dashboard Panel,Fitment Issue,3,20692,26,South
2024-12-24,Utility-A,Plant-D,Supplier-Delta,Fender Cladding,Fitment Issue,5,5265,8,East
2024-09-24,SUV-B,Plant-C,Supplier-Alpha,Door Trim,Material Failure,5,12480,8,West
2024-03-21,SUV-B,Plant-A,Supplier-Gamma,Door Trim,Surface Damage,4,21622,6,East
2024-06-06,Offroad-A,Plant-C,Supplier-Beta,Rear Bumper,Fitment Issue,7,4091,26,West
2024-08-11,Offroad-A,Plant-B,Supplier-Alpha,Rear Bumper,Noise,1,15176,34,East
2024-01-02,Offroad-A,Plant-D,Supplier-Gamma,Fender Cladding,Noise,6,3597,27,East
2024-05-04,Offroad-A,Plant-B,Supplier-Beta,Front Bumper,Fitment Issue,1,8218,15,East
2024-08-28,Utility-A,Plant-C,Supplier-Delta,Door Trim,Surface Damage,2,2793,18,West
2024-04-26,Offroad-A,Plant-A,Supplier-Beta,Fender Cladding,Surface Damage,7,5122,2,East
2024-09-20,Utility-A,Plant-C,Supplier-Delta,Rear Bumper,Surface Damage,1,17966,25,West
2024-02-06,Offroad-A,Plant-C,Supplier-Gamma,Door Trim,Surface Damage,7,12635,9,East
2024-11-06,Utility-A,Plant-D,Supplier-Gamma,Door Trim,Surface Damage,7,15045,16,East
2024-08-03,Utility-A,Plant-B,Supplier-Beta,Dashboard Panel,Crack,4,10110,5,North
2024-02-18,Offroad-A,Plant-D,Supplier-Beta,Door Trim,Fitment Issue,2,16640,25,West
2024-08-04,SUV-A,Plant-C,Supplier-Delta,Rear Bumper,Material Failure,5,21786,23,West
2024-02-28,Utility-A,Plant-A,Supplier-Alpha,Fender Cladding,Noise,7,22848,4,South
2024-02-29,Utility-A,Plant-A,Supplier-Beta,Front Bumper,Fitment Issue,4,16037,31,West
2024-12-10,SUV-A,Plant-D,Supplier-Alpha,Rear Bumper,Noise,6,12715,19,South
2024-03-18,Utility-A,Plant-A,Supplier-Delta,Door Trim,Fitment Issue,6,2852,8,North
2024-04-28,SUV-B,Plant-A,Supplier-Alpha,Dashboard Panel,Fitment Issue,6,9093,17,East
2024-12-21,SUV-B,Plant-A,Supplier-Beta,Dashboard Panel,Noise,7,17177,5,East
2024-11-14,SUV-A,Plant-C,Supplier-Gamma,Wheel Arch Cladding,Surface Damage,7,23300,19,North
2024-05-06,SUV-A,Plant-A,Supplier-Beta,Fender Cladding,Noise,2,6632,16,South
2024-07-25,Offroad-A,Plant-D,Supplier-Alpha,Rear Bumper,Noise,4,22582,11,West
2024-06-08,Utility-A,Plant-A,Supplier-Beta,Door Trim,Noise,5,18930,2,West
2024-11-17,SUV-B,Plant-C,Supplier-Beta,Front Bumper,Surface Damage,2,24088,5,North
2024-03-25,SUV-A,Plant-C,Supplier-Gamma,Dashboard Panel,Fitment Issue,4,4493,35,East
2024-01-04,Offroad-A,Plant-A,Supplier-Alpha,Door Trim,Material Failure,3,22068,17,West
2024-06-05,SUV-A,Plant-D,Supplier-Alpha,Door Trim,Material Failure,5,21971,15,West
2024-06-25,SUV-B,Plant-A,Supplier-Alpha,Rear Bumper,Fitment Issue,2,2412,23,South
2024-12-14,SUV-A,Plant-B,Supplier-Alpha,Dashboard Panel,Noise,3,4761,18,West
2024-10-05,SUV-A,Plant-D,Supplier-Gamma,Front Bumper,Fitment Issue,3,14064,3,North
2024-11-05,Utility-A,Plant-D,Supplier-Delta,Dashboard Panel,Crack,2,17494,34,South
2024-09-08,SUV-B,Plant-D,Supplier-Delta,Wheel Arch Cladding,Fitment Issue,1,9760,24,East
2024-03-20,Utility-A,Plant-D,Supplier-Gamma,Dashboard Panel,Crack,1,5529,2,East
2024-02-13,SUV-A,Plant-D,Supplier-Alpha,Dashboard Panel,Material Failure,4,15504,20,East
2024-08-05,SUV-B,Plant-A,Supplier-Beta,Rear Bumper,Material Failure,2,8505,8,North
2024-07-17,Offroad-A,Plant-A,Supplier-Alpha,Dashboard Panel,Material Failure,7,6550,28,East
2024-06-28,Utility-A,Plant-D,Supplier-Delta,Fender Cladding,Noise,2,11992,9,South
2024-07-26,Utility-A,Plant-D,Supplier-Beta,Front Bumper,Crack,3,9711,30,West
2024-07-12,Offroad-A,Plant-B,Supplier-Delta,Wheel Arch Cladding,Crack,3,20715,11,South
2024-01-12,SUV-A,Plant-C,Supplier-Alpha,Wheel Arch Cladding,Crack,7,16555,21,North
2024-07-23,Offroad-A,Plant-C,Supplier-Delta,Front Bumper,Fitment Issue,7,21517,15,North
2024-12-01,SUV-B,Plant-D,Supplier-Gamma,Fender Cladding,Noise,6,5073,27,West
2024-05-05,Utility-A,Plant-D,Supplier-Gamma,Door Trim,Material Failure,3,14923,26,West
2024-12-13,SUV-B,Plant-C,Supplier-Alpha,Rear Bumper,Fitment Issue,5,14163,22,West
2024-03-12,SUV-A,Plant-A,Supplier-Beta,Fender Cladding,Noise,1,16588,7,North
2024-08-07,Offroad-A,Plant-B,Supplier-Beta,Dashboard Panel,Material Failure,4,16928,4,West
2024-10-28,SUV-B,Plant-B,Supplier-Beta,Wheel Arch Cladding,Crack,4,20757,3,South
2024-03-12,Utility-A,Plant-D,Supplier-Gamma,Dashboard Panel,Crack,2,21595,25,North
2024-12-14,SUV-B,Plant-A,Supplier-Beta,Fender Cladding,Crack,3,15950,21,West
2024-04-30,Utility-A,Plant-A,Supplier-Delta,Door Trim,Surface Damage,7,11106,24,North
2024-09-30,SUV-A,Plant-A,Supplier-Delta,Dashboard Panel,Crack,7,4938,1,South
2024-10-26,Offroad-A,Plant-A,Supplier-Beta,Fender Cladding,Material Failure,2,13484,7,North
2024-02-12,SUV-B,Plant-D,Supplier-Beta,Fender Cladding,Fitment Issue,1,22191,25,East
2024-07-26,SUV-A,Plant-C,Supplier-Gamma,Dashboard Panel,Fitment Issue,7,2155,5,South
2024-08-01,SUV-A,Plant-D,Supplier-Alpha,Wheel Arch Cladding,Surface Damage,5,9812,12,North
2024-11-30,SUV-B,Plant-B,Supplier-Gamma,Fender Cladding,Surface Damage,7,22848,20,South
2024-03-17,SUV-B,Plant-B,Supplier-Gamma,Dashboard Panel,Material Failure,7,23316,12,East
2024-05-29,Utility-A,Plant-D,Supplier-Alpha,Rear Bumper,Noise,1,14318,28,South
2024-09-08,SUV-A,Plant-B,Supplier-Delta,Front Bumper,Surface Damage,2,17000,19,East
